term,Category,Freq,Term,Total,loglift,logprob
2861,Topic4,0.63800727585707,판문점,0.7941832152720177,0.9466105869840595,0.005860688988333959
266,Topic4,0.6254685841959264,경제,1.737377128118573,0.7094216289735459,0.005745509467774634
1878,Topic4,0.6238035406174648,완전,0.623803540617465,0.9999999999999999,0.005730214497114186
67,Topic4,0.6099945748069572,2월,0.8003017664375389,0.932937884353413,0.00560336632950167
2344,Topic4,0.5942225171534125,정상은,0.5942225171534127,0.9999999999999999,0.0054584853412882935
93,Topic4,0.5638644914982383,9월,1.4458987599832474,0.7350684017104406,0.0051796186991707235
2379,Topic4,0.5520536877965035,제재,0.7498497267353723,0.9237425113632745,0.005071125505099941
107,Topic4,0.5494752347182116,do,1.96211890696235,0.6280018814652588,0.005047440020412354
753,Topic4,0.5472518710464782,도널드,0.5472518710464784,0.9999999999999998,0.005027016361496421
2413,Topic4,0.5434376844726309,조치,1.0655275391812404,0.8187622687804528,0.004991979517719411
1882,Topic4,0.5227406516383781,외교부,0.6756874811329745,0.9368437056324194,0.004801858061408517
359,Topic4,0.517898290039933,관계,0.9451720429779544,0.8402732764436398,0.004757376475740996
2814,Topic4,0.517539718196047,통일부,0.8365571280826425,0.875637273985948,0.004754082660550307
2343,Topic4,0.4838733783348412,정상,0.5673500336303072,0.9617703782496577,0.004444826081874111
2360,Topic4,0.47417737011407163,정책,1.876187037552387,0.5947961147488979,0.00435575924712066
1443,Topic4,0.4669107152729826,성공,0.7613398821969166,0.873139627639997,0.004289008277937774
85,Topic4,0.44384395931375203,6월,1.4804524760140585,0.6501440079391314,0.004077118715290944
323,Topic4,0.44186969791296216,공동,1.324476312219636,0.6848269404058157,0.004058983291935219
570,Topic4,0.4340185399533709,김정남,0.4340185399533709,1.0,0.003986863119108605
2509,Topic4,0.4148913668989593,지역,0.8318542825989915,0.8119801371159854,0.003811162281924014
603,Topic4,0.40348611333984674,남북정상회담,0.40348611333984674,1.0,0.003706394442320219
2463,Topic4,0.4030585049145032,중단,0.7275127939904503,0.8435451422563668,0.003702466462053279
744,Topic4,0.39117642107133804,대화,0.3911764210713381,1.0,0.0035933184937255655
2633,Topic4,0.38069570319564916,청와대,0.611492427106398,0.8774361285701678,0.0034970433724718633
